x,y,z,temperature,extrusion
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,233.2,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.7,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,241.2,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
12818.0,7266.0,2840.0,240.7,-34.0
